Gemeente;Stad/Gem.;Provincie;Oppervlakte (km²);Aantal inwoners (01/01/2023);Deelgemeenten;Path
Sint-Truiden;stad;Limburg;106,9;41.353;Sint-Truiden, Aalst, Brustem, Engelmanshoven, Gelinden, Groot-Gelmen, Halmaal, Kerkom-bij-Sint-Truiden, Ordingen, Zepperen, Duras, Gorsem, Runkelen, Wilderen, Velm;path234
Spiere-Helkijn;gem.[3];West-Vlaanderen;10,78;2.056;Helkijn, Spiere;path123
Stabroek;gem.;Antwerpen;21,51;18.837;Stabroek, Hoevenen;path129
Staden;gem.;West-Vlaanderen;46,24;11.639;Staden, Oostnieuwkerke, Westrozebeke;path92
Steenokkerzeel;gem.;Vlaams-Brabant;23,46;12.614;Steenokkerzeel, Melsbroek, Perk;path258
Stekene;gem.;Oost-Vlaanderen;44,8;19.273;Stekene, Kemzeke;path12
Temse;gem.;Oost-Vlaanderen;39,92;31.191;Temse, Elversele, Steendorp, Tielrode;path19
Ternat;gem.;Vlaams-Brabant;24,48;16.488;Ternat, Sint-Katherina-Lombeek, Wambeek;path295
Tervuren;gem.;Vlaams-Brabant;32,92;23.101;Tervuren, Duisburg, Vossem;path273
Tessenderlo;gem.;Limburg;51,35;18.838;Tessenderlo;path217
Tielt;stad;West-Vlaanderen;68,5;20.701;Tielt, Aarsele, Kanegem, Schuiferskapelle;path103
Tielt-Winge;gem.;Vlaams-Brabant;44,16;11.440;Houwaart, Meensel-Kiezegem, Sint-Joris-Winge, Tielt;path264
Tienen;stad;Vlaams-Brabant;71,77;36.282;Tienen, Bost, Goetsenhoven, Hakendover, Kumtich, Oorbeek, Oplinter, Sint-Margriete-Houtem, Vissenaken;path282
Tongeren;stad;Limburg;87,56;31.915;Tongeren, Berg, Diets-Heur, Henis, 's Herenelderen, Koninksem, Lauw, Mal, Neerrepen, Nerem, Overrepen, Piringen, Riksingen, Rutten, Sluizen, Vreren, Widooie;path237
Torhout;stad;West-Vlaanderen;45,23;20.782;Torhout;path87
Tremelo;gem.;Vlaams-Brabant;21,57;15.338;Tremelo, Baal;path248
Turnhout;stad;Antwerpen;56,06;46.923;Turnhout;path136
Veurne;stad;West-Vlaanderen;96,34;12.419;Veurne, Avekapelle, Booitshoeke, Bulskamp, De Moeren, Eggewaartskapelle, Houtem, Steenkerke, Vinkem, Wulveringem, Zoutenaaie;path71
Vilvoorde;stad;Vlaams-Brabant;21,48;46.993;Vilvoorde, Peutie;path257
Vleteren;gem.;West-Vlaanderen;38,15;3.611;Oostvleteren, Westvleteren, Woesten;path89
Voeren;gem.[3];Limburg;50,63;4.387;Moelingen, Remersdaal, 's-Gravenvoeren, Sint-Martens-Voeren, Sint-Pieters-Voeren, Teuven;path240
Vorselaar;gem.;Antwerpen;27,62;8.044;Vorselaar;path158
Vosselaar;gem.;Antwerpen;11,85;11.802;Vosselaar;path145
Waasmunster;gem.;Oost-Vlaanderen;31,93;11.177;Waasmunster;path30
Wachtebeke;gem.;Oost-Vlaanderen;34,53;7.837;Wachtebeke;path10
Waregem;stad;West-Vlaanderen;44,34;39.488;Waregem, Beveren, Desselgem, Sint-Eloois-Vijve;path117
Wellen;gem.;Limburg;26,72;7.473;Wellen, Berlingen, Herten, Ulbeek;path235
Wemmel;gem.[3];Vlaams-Brabant;8,74;17.743;Wemmel;path268
Wervik;stad;West-Vlaanderen;43,61;19.190;Wervik, Geluwe;path112
Westerlo;gem.;Antwerpen;55,13;25.466;Westerlo, Oevel, Tongerlo, Zoerle-Parwijs;path195
Wetteren;gem.;Oost-Vlaanderen;36,68;26.748;Wetteren, Massemen, Westrem;path36
Wevelgem;gem.;West-Vlaanderen;38,76;31.795;Wevelgem, Gullegem, Moorsele;path114
Wezembeek-Oppem;gem.[3];Vlaams-Brabant;6,82;14.608;Wezembeek-Oppem;path272
Wichelen;gem.;Oost-Vlaanderen;22,87;11.960;Wichelen, Schellebelle, Serskamp;path37
Wielsbeke;gem.;West-Vlaanderen;21,76;10.013;Wielsbeke, Ooigem, Sint-Baafs-Vijve;path110
Wijnegem;gem.;Antwerpen;7,86;10.432;Wijnegem;path154
Willebroek;gem.;Antwerpen;27,41;27.773;Willebroek, Blaasveld, Heindonk, Tisselt;path184
Wingene;gem.;West-Vlaanderen;68,42;15.039;Wingene, Zwevezele;path95
Wommelgem;gem.;Antwerpen;13,01;13.230;Wommelgem;path155
Wortegem-Petegem;gem.;Oost-Vlaanderen;41,96;6.552;Elsegem, Moregem, Ooike, Petegem-aan-de-Schelde, Wortegem;path48
Wuustwezel;gem.;Antwerpen;89,43;21.644;Wuustwezel, Loenhout;path133
Zandhoven;gem.;Antwerpen;40,1;13.352;Zandhoven, Massenhoven, Pulderbos, Pulle, Viersel;path157
Zaventem;gem.;Vlaams-Brabant;27,62;36.408;Zaventem, Nossegem, Sint-Stevens-Woluwe, Sterrebeek;path270
Zedelgem;gem.;West-Vlaanderen;60,34;23.391;Aartrijke, Loppem, Veldegem, Zedelgem;path84
Zele;gem.;Oost-Vlaanderen;33,06;21.374;Zele;path29
Zelzate;gem.;Oost-Vlaanderen;13,71;13.543;Zelzate;path9
Zemst;gem.;Vlaams-Brabant;42,85;23.357;Zemst, Eppegem, Elewijt, Hofstade, Weerde;path244
Zoersel;gem.;Antwerpen;38,65;22.427;Zoersel, Halle, Sint-Antonius;path152
Zonhoven;gem.;Limburg;39,34;21.653;Zonhoven;path220
Zonnebeke;gem.;West-Vlaanderen;67,57;12.658;Zonnebeke, Beselare, Geluveld, Passendale, Zandvoorde;path98
Zottegem;stad;Oost-Vlaanderen;56,66;27.677;Zottegem, Elene, Erwetegem, Godveerdegem, Grotenberge, Leeuwergem, Sint-Goriks-Oudenhove, Strijpen, Velzeke-Ruddershove, Oombergen, Sint-Maria-Oudenhove;path44
Zoutleeuw;stad;Vlaams-Brabant;46,73;8.668;Zoutleeuw, Budingen, Dormaal, Halle-Booienhoven, Helen-Bos;path285
Zuienkerke;gem.;West-Vlaanderen;48,86;2.751;Zuienkerke, Meetkerke, Houtave, Nieuwmunster;path76
Zulte;gem.;Oost-Vlaanderen;32,52;16.000;Zulte, Olsene, Machelen;path32
Zutendaal;gem.;Limburg;32,07;7.345;Zutendaal;path221
Zwalm;gem.;Oost-Vlaanderen;33,82;8.320;Beerlegem, Dikkele, Hundelgem, Meilegem, Munkzwalm, Nederzwalm-Hermelgem, Paulatem, Roborst, Rozebeke, Sint-Blasius-Boekel, Sint-Denijs-Boekel, Sint-Maria-Latem;path43
Zwevegem;gem.;West-Vlaanderen;63,24;25.558;Zwevegem, Heestert, Moen, Otegem, Sint-Denijs;path122
Zwijndrecht;gem;Antwerpen;17,82;19.547;Zwijndrecht, Burcht;path128
Anderlecht;gem;Brussel;17,71;121.394;;path316
Brussel (Bruxelles);stad;Brussel;32,61;187.686;;path334
;gem;Brussel;;;;
Elsene (Ixelles);gem;Brussel;6,34;86.917;;path333
Etterbeek;gem;Brussel;3,15;48.223;;path332
Evere;gem;Brussel;5,02;43.481;;path330
Ganshoren;gem;Brussel;2,46;25.202;;path320
Jette;gem;Brussel;5,04;52.604;;path321
Koekelberg;gem;Brussel;1,17;21.997;;path319
Oudergem;gem;Brussel;9,03;34.937;;path325
Schaarbeek;gem;Brussel;8,14;130.270;;path329
Sint-Agatha-Berchem;gem;Brussel;2,95;25.288;;path318
Sint-Gillis;gem;Brussel;2,52;48.498;;path331
Sint-Jans-Molenbeek;gem;Brussel;5,89;97.102;;path317
Sint-Joost-ten-Node;gem;Brussel;1,14;26.809;;path328
Sint-Lambrechts-Woluwe;gem;Brussel;7,22;58.448;;path327
Sint-Pieters-Woluwe;gem;Brussel;8,85;42.106;;path326
Ukkel (Uccle);gem;Brussel;22,91;84.647;;path323
Vorst (Forest);gem;Brussel;6,25;56.271;;path322
Watermaal-Bosvoorde (Watermael-Boitsfort);gem;Brussel;12,93;25.190;;path324
's-Gravenbrakel (Braine-le-Comte);stad;Henegouwen;84,68;21.426;'s-Gravenbrakel, Hennuyères, Henripont, Petit-Rœulx-lez-Braine, Ronquières, Steenkerke;path312
Aarlen (Arlon);stad;Luxemburg;118,64;29.274;Aarlen, Bonnert, Heinsch, Toernich, Guirsch, Autelbas;path578
Aat (Ath);stad;Henegouwen;126,95;28.951;Aat, Lanquesaint, Irchonwelz, Ormeignies, Bouvignies, Ostiches, Rebaix, Maffle, Arbre, Houtaing, Ligne, Mainvault, Moulbaix, Villers-Notre-Dame, Villers-Saint-Amand, Gellingen, Isières, Meslin-l'Évêque, Gibecq;path342
Aiseau-Presles;gem.;Henegouwen;22,19;10.805;Aiseau, Pont-de-Loup, Presles, Roselies;path356
Amay;gem.;Luik;27,61;14.182;Amay, Ampsin, Flône, Jehay-Bodegnée, Ombret;path512
Amel;gem.;Luik;125,15;5.492;Amel, Meyerode, Heppenbach;path540
Andenne;stad;Namen;86,17;26.281;Andenne, Bonneville, Coutisse, Landenne, Maizeret, Namêche, Sclayn, Seilles, Thon, Vezin;path428
Anderlues;gem.;Henegouwen;17,02;12.012;Anderlues;path368
Anhée;gem.;Namen;65,67;7.101;Anhée, Annevoie-Rouillon, Bioul, Denée, Haut-le-Wastia, Sosoye, Warnant;path436
Ans;gem.;Luik;23,35;28.159;Ans, Loncin, Alleur, Xhendremael;path466
Anthisnes;gem.;Luik;37,08;4.116;Anthisnes, Villers-aux-Tours, Hody, Tavier;path520
Antoing;stad;Henegouwen;31,13;7.817;Antoing, Maubray, Péronnes-lez-Antoing, Bruyelle, Calonne, Fontenoy;path359
Assesse;gem.;Namen;78,16;6.917;Assesse, Maillen, Sart-Bernard, Crupet, Sorinne-la-Longue, Florée, Courrière;path432
Attert;gem.;Luxemburg;70,94;5.411;Attert, Nobressart, Nothomb, Thiaumont, Tontelange;path575
Aubange;gem.;Luxemburg;45,6;16.646;Aubange, Athus, Halanzy, Rachecourt;path585
Aubel;gem.;Luik;18,83;4.229;Aubel;path472
Awans;gem.;Luik;27,16;9.240;Awans, Fooz, Elch, Villers-l'Évêque, Hognoul;path465
Aywaille;gem.;Luik;79,97;12.257;Aywaille, Ernonheid, Harzé, Sougné-Remouchamps;path530
Baelen;gem;Luik;85,73;4.370;Baelen, Membach;path510
Bastenaken (Bastogne);stad;Luxemburg;172,03;15.580;Bastenaken, Longvilly, Noville, Villers-la-Bonne-Eau, Wardin;path554
Beaumont;stad;Henegouwen;92,97;7.052;Beaumont, Barbençon, Leugnies, Leval-Chaudeville, Renlies, Solre-Saint-Géry, Thirimont;path388
;;;;;Strée;
Beauraing;stad;Namen;174,55;9.069;Beauraing, Baronville, Dion, Felenne, Feschaux, Honnay, Javingue, Vonêche, Wancennes, Winenne, Wiesme, Focant, Martouzin-Neuville, Pondrôme, Froidfontaine;path448
Belœil;gem.;Henegouwen;61,55;13.982;Belœil, Basècles, Ramegnies, Thumaide, Wadelincourt, Aubechies, Ellignies-Sainte-Anne, Quevaucamps, Grandglise, Stambruges;path361
Bergen (Mons);stad;Henegouwen;146,56;94.964;Bergen, Ghlin, Flénu, Jemappes, Maisières, Nimy, Havré, Harmignies, Harveng, Hyon, Mesvin, Nouvelles, Ciply, Saint-Symphorien, Villers-Saint-Ghislain, Spiennes, Cuesmes, Obourg, Saint-Denis;path364
Berloz;gem.;Luik;14,49;3.024;Berloz, Corswarem, Roost-Krenwik;path461
Bernissart;gem.;Henegouwen;43,42;11.943;Bernissart, Blaton, Harchies, Pommerœul, Ville-Pommerœul;path374
Bertogne;gem.;Luxemburg;91,67;3.483;Bertogne, Flamierge, Longchamps;path553
Bertrix;gem.;Luxemburg;137,7;8.667;Bertrix, Auby-sur-Semois, Cugnon, Jehonville, Orgeo;path565
Bevekom (Beauvechain);gem.;Waals-Brabant;38,58;7.104;Bevekom, Deurne, Hamme-Mille, Nodebeek, Sluizen;path402
Beyne-Heusay;gem.;Luik;7,32;12.096;Beyne-Heusay, Bellaire, Queue-du-Bois;path500
Bièvre;gem.;Namen;109,59;3.250;Bièvre, Baillamont, Bellefontaine, Cornimont, Graide, Gros-Fays, Monceau-en-Ardenne, Naomé, Oizy, Petit-Fays;path450
Binche;stad;Henegouwen;60,66;33.445;Binche, Bray, Waudrez, Buvrinnes, Épinois, Leval-Trahegnies, Péronnes-lez-Binche, Ressaix;path366
Bitsingen (Bassenge);gem.;Luik;38,17;8.994;Bitsingen, Boirs, Eben-Emael, Glaaien, Rukkelingen-aan-de-Jeker, Wonck;path468
Blegny;gem.;Luik;26,07;13.212;Mortier, Trembleur, Barchon, Housse, Saive, Saint-Remy;path487
Borgworm (Waremme);stad;Luik;31,04;14.906;Borgworm, Bettenhoven, Bleret, Bovenistier, Grand-Axhe, Lantremange, Liek;path462
Bouillon;stad;Luxemburg;149,09;5.408;Bouillon, Les Hayons, Poupehan, Rochehaut, Noirefontaine, Sensenruth, Ucimont, Vivy, Bellevaux, Dohan, Corbion;path569
Boussu;gem.;Henegouwen;20,01;19.748;Boussu, Hornu;path379
Braives;gem.;Luik;44;6.238;Braives, Avennes, Ciplet, Fallais, Fumal, Ville-en-Hesbaye, Latinne, Tourinne;path478
Brugelette;gem.;Henegouwen;28,4;3.619;Brugelette, Cambron-Casteau, Attre, Mévergnies-lez-Lens, Gages;path343
Büllingen (Bullange);gem.;Luik;150,49;5.484;Büllingen, Manderfeld, Rocherath;path541
Brunehaut;gem.;Henegouwen;46,11;8.068;Bléharies, Guignies, Hollain, Jollain-Merlin, Wez-Velvain, Lesdain, Laplaigne, Rongy, Howardries;path358
Burdinne;gem.;Luik;32,57;3.263;Burdinne, Hannêche, Lamontzée, Marneffe, Oteppe;path492
Burg-Reuland;gem.;Luik;108,96;3.964;Reuland, Thommen;path538
Bütgenbach;gem.;Luik;97,31;5.605;Bütgenbach, Elsenborn;path535
Celles;gem.;Henegouwen;67,14;5.611;Celles, Escanaffles, Molenbaix, Popuelles, Pottes, Velaines;path198
Cerfontaine;gem.;Namen;83,45;4.853;Cerfontaine, Daussois, Senzeille, Silenrieux, Soumoy, Villers-Deux-Églises;path452
Chapelle-lez-Herlaimont;gem.;Henegouwen;18,1;14.810;Chapelle-lez-Herlaimont, Godarville, Piéton;path349
Charleroi;stad;Henegouwen;102,08;202.182;Charleroi, Marcinelle, Couillet, Dampremy, Goutroux, Marchienne-au-Pont, Monceau-sur-Sambre, Mont-sur-Marchienne, Jumet, Gosselies, Lodelinsart, Ransart, Roux, Gilly, Montignies-sur-Sambre;path353
Chastre;gem.;Waals-Brabant;31,27;7.518;Chastre-Villeroux-Blanmont, Cortil-Noirmont, Gentinnes, Saint-Géry;path419
Châtelet;stad;Henegouwen;27,03;36.463;Châtelet, Bouffioulx, Châtelineau;path354
Chaudfontaine;gem.;Luik;25,52;20.766;Chaudfontaine, Vaux-sous-Chèvremont, Beaufays, Embourg;path503
Chaumont-Gistoux;gem.;Waals-Brabant;48,09;11.698;Chaumont-Gistoux, Bonlez, Corroy-le-Grand, Dion-le-Mont, Dion-le-Val, Longueville;path410
Chièvres;stad;Henegouwen;46,91;6.946;Chièvres, Grosage, Huissignies, Ladeuze, Tongre-Saint-Martin, Tongre-Notre-Dame;path362
Chimay;stad;Henegouwen;197,1;9.850;Chimay, Bailièvre, Robechies, Saint-Remy, Salles, Villers-la-Tour, Virelles, Vaulx, Lompret, Baileux, Bourlers, Forges, L'Escaillère, Rièzes;path391
Chiny;stad;Luxemburg;113,69;5.233;Chiny, Izel, Jamoigne, Les Bulles, Suxy, Termes;path572
Ciney;stad;Namen;147,56;16.323;Ciney, Achêne, Braibant, Chevetogne, Conneux, Leignon, Pessoux, Serinchamps, Sovet;path438
Clavier;gem.;Luik;79,12;4.545;Clavier, Bois-et-Borsu, Les Avins, Ocquier, Pailhe, Terwagne;path518
Colfontaine;gem.;Henegouwen;13,62;20.605;Pâturages, Warquignies, Wasmes;path381
Comblain-au-Pont;gem.;Luik;22,68;5.360;Comblain-au-Pont, Poulseur;path529
Courcelles;gem.;Henegouwen;48,04;31.217;Courcelles, Gouy-lez-Piéton, Souvret, Trazegnies;path350
Court-Saint-Étienne;gem.;Waals-Brabant;26,64;10.395;Court-Saint-Etienne;path417
Couvin;stad;Namen;206,93;13.946;Couvin, Aublain, Boussu-en-Fagne, Brûly, Brûly-de-Pesche, Cul-des-Sarts, Dailly, Frasnes-lez-Couvin, Gonrieux, Mariembourg, Pesche, Petigny, Petite-Chapelle, Presgaux;path456
Crisnée;gem.;Luik;16,83;3.254;Crisnée, Fize-le-Marsal, Kemexhe, Odeur, Thys;path464
Dalhem;gem.;Luik;36,06;7.280;Dalhem, Saint-André, Berneau, Bolbeek, Feneur, Mortroux, Neufchâteau, Weerst;path471
Daverdisse;gem.;Luxemburg;56,4;1.457;Daverdisse, Gembes, Haut-Fays, Porcheresse;path561
Dinant;stad;Namen;99,8;13.494;Dinant, Anseremme, Bouvignes-sur-Meuse, Dréhance, Falmagne, Falmignoul, Furfooz, Lisogne, Thynes, Sorinnes, Foy-Notre-Dame;path445
Dison;gem.;Luik;14,01;15.124;Dison, Andrimont;path508
Doische;gem.;Namen;84,02;2.958;Doische, Gimnée, Gochenée, Matagne-la-Grande, Matagne-la-Petite, Niverlée, Romerée, Soulme, Vaucelles, Vodelée;path454
Donceel;gem.;Luik;23,31;3.032;Donceel, Haneffe, Jeneffe, Limont;path480
Doornik (Tournai);stad;Henegouwen;213,75;69.471;Doornik, Ere, Saint-Maur, Orcq, Esplechin, Froyennes, Froidmont, Willemeau, Ramegnies-Chin, Templeuve, Chercq, Blandain, Hertain, Lamain, Marquain, Gaurain-Ramecroix, Havinnes, Beclers, Thimougies, Barry, Maulde, Vaulx, Vezon, Kain, Melles, Quartes, Rumillies, Mont-Saint-Aubert, Mourcourt, Warchin;path340
Dour;gem.;Henegouwen;33,32;16.733;Dour, Blaugies, Élouges, Wihéries;path378
Durbuy;stad;Luxemburg;156,61;11.478;Durbuy, Barvaux, Grandhan, Septon, Wéris, Bende, Bomal, Borlon, Heyd, Izier, Tohogne, Villers-Sainte-Gertrude;path542
Écaussinnes;gem.;Henegouwen;34,77;10.922;Écaussinnes-d'Enghien, Marche-lez-Écaussinnes, Écaussinnes-Lalaing;path335
Edingen (Enghien);stad;Henegouwen;40,59;13.489;Edingen, Lettelingen, Mark;path308
Eigenbrakel (Braine-l'Alleud);gem.;Waals-Brabant;52,12;39.785;Eigenbrakel, Ophain-Bois-Seigneur-Isaac, Lillois-Witterzée;path396
Éghezée;gem.;Namen;102,81;15.951;Éghezée, Aische-en-Refail, Bolinne, Boneffe, Branchon, Dhuy, Hanret, Leuze, Liernu, Longchamps, Mehaigne, Noville-sur-Mehaigne, Saint-Germain, Taviers, Upigny, Waret-la-Chaussée;path423
Elzele (Ellezelles);gem.;Henegouwen;44,69;5.922;Elzele, Lahamaide, Wodecq;path280
Engis;gem.;Luik;27,74;6.018;Engis, Clermont-sous-Huy, Hermalle-sous-Huy;path513
Érezée;gem.;Luxemburg;78,44;3.232;Erezée, Amonines, Mormont, Soy;path543
Erquelinnes;gem.;Henegouwen;44,23;9.920;Erquelinnes, Bersillies-l'Abbaye, Grand-Reng, Hantes-Wihéries, Montignies-Saint-Christophe, Solre-sur-Sambre;path385
Esneux;gem.;Luik;34,05;13.037;Esneux, Tilff;path524
Estaimpuis;gem.;Henegouwen;31,75;10.255;Estaimpuis, Bailleul, Estaimbourg, Évregnies, Leers-Nord, Néchin, Saint-Léger;path169
Estinnes;gem.;Henegouwen;72,73;7.679;Croix-lez-Rouveroy, Estinnes-au-Mont, Estinnes-au-Val, Fauroeulx, Haulchin, Peissant, Rouveroy, Vellereille-les-Brayeux, Vellereille-le-Sec;path384
Étalle;gem.;Luxemburg;78,1;5.746;Étalle, Sainte-Marie, Villers-sur-Semois, Vance, Chantemelle, Buzenol;path577
Eupen;stad;Luik;103,74;19.338;Eupen, Kettenis;path476
Faimes;gem.;Luik;28,48;3.911;Aineffe, Borlez, Celles, Les Waleffes, Viemme;path479
Farciennes;gem.;Henegouwen;10,39;11.338;Farciennes, Pironchamps;path355
Fauvillers;gem.;Luxemburg;74,11;2.237;Fauvillers, Hollange, Tintange;path560
Fernelmont;gem.;Namen;65,61;7.792;Bierwart, Cortil-Wodon, Forville, Franc-Waret, Hemptinne, Hingeon, Marchovelette, Noville-les-Bois, Pontillas, Tillier;path427
Ferrières;gem.;Luik;56,9;4.847;Ferrières, My, Vieuxville, Werbomont, Xhoris;path522
Fexhe-le-Haut-Clocher;gem.;Luik;19,25;3.254;Fexhe-le-Haut-Clocher, Freloux, Noville, Roloux, Voroux-Goreux;path482
Flémalle;gem.;Luik;36,68;26.058;Awirs, Chokier, Flémalle-Grande, Flémalle-Haute, Gleixhe, Ivoz-Ramet, Mons-lez-Liège;path498
Fléron;gem.;Luik;13,72;16.507;Fléron, Retinne, Magnée, Romsée;path501
Fleurus;stad;Henegouwen;59,28;22.802;Fleurus, Heppignies, Lambusart, Wangenies, Saint-Amand, Brye, Wagnelée, Wanfercée-Baulet;path339
Floreffe;gem.;Namen;38,89;7.957;Floreffe, Floriffoux, Franière, Soye;path430
Florennes;gem.;Namen;133,55;11.337;Florennes, Corenne, Flavion, Hemptinne, Morville, Rosée, Saint-Aubin, Hanzinelle, Hanzinne, Morialmé, Thy-le-Bauduin;path443
Florenville;stad;Luxemburg;146,91;5.632;Florenville, Fontenoille, Muno, Sainte-Cécile, Lacuisine, Villers-devant-Orval, Chassepierre;path571
Fontaine-l'Évêque;stad;Henegouwen;28,41;17.808;Fontaine-l'Evêque, Forchies-la-Marche, Leernes;path369
Fosses-la-Ville;stad;Namen;63,24;10.412;Fosses-la-Ville, Aisemont, Le Roux, Sart-Eustache, Sart-Saint-Laurent, Vitrival;path429
Frameries;gem.;Henegouwen;25,95;21.828;Frameries, Eugies, La Bouverie, Noirchain, Sars-la-Bruyère;path382
Frasnes-lez-Anvaing;gem.;Henegouwen;112,44;11.709;Anvaing, Arc-Ainières, Cordes, Forest, Wattripont, Buissenal, Frasnes-lez-Buissenal, Hacquegnies, Herquegies, Montrœul-au-Bois, Moustier, Œudeghien, Dergneau, Saint-Sauveur;path277
Froidchapelle;gem.;Henegouwen;86,03;3.908;Froidchapelle, Boussu-lez-Walcourt, Fourbechies, Vergnies, Erpion;path390
Gedinne;gem.;Namen;151,56;4.563;Gedinne, Bourseigne-Neuve, Bourseigne-Vieille, Houdremont, Louette-Saint-Denis, Louette-Saint-Pierre, Malvoisin, Patignies, Rienne, Sart-Custinne, Vencimont, Willerzie;path449
Graven (Grez-Doiceau);gem.;Waals-Brabant;55,44;12.607;Graven, Eerken, Biez, Bossut-Gottechain, Nethen;path401
Geer;gem.;Luik;23,62;3.361;Geer, Boëlhe, Hollogne-sur-Geer, Lens-Saint-Servais, Omal, Darion, Ligney;path460
Geldenaken (Jodoigne);stad;Waals-Brabant;73,31;13.883;Geldenaken, Dongelberg, Jauchelette, Lathuy, Malen, Opgeldenaken, Petrem, Sint-Jans-Geest, Sint-Remigius-Geest, Zittert-Lummen;path403
Gembloers (Gembloux);gem.;Namen;95,86;25.528;Gembloers, Beuzet, Ernage, Grand-Manil, Lonzée, Sauvenière, Grand-Leez, Bossière, Bothey, Corroy-le-Château, Isnes, Mazy;path421
Genepiën (Genappe);stad;Waals-Brabant;89,57;15.302;Genepiën, Baisy-Thy, Bousval, Loupoigne, Oud-Genepiën, Glabais, Ways, Houtain-le-Val;path407
Gerpinnes;gem.;Henegouwen;47,1;12.527;Gerpinnes, Acoz, Gougnies, Joncret, Loverval, Villers-Poterie;path373
Gesves;gem.;Namen;64,92;7.159;Gesves, Faulx-les-Tombes, Haltinne, Mozet, Sorée;path433
Gouvy;gem.;Luxemburg;165,11;5.156;Limerlé, Bovigny, Beho, Cherain, Montleban;
Grâce-Hollogne;gem.;Luik;34,24;22.145;Bierset, Grâce-Berleur, Hollogne-aux-Pierres, Horion-Hozémont, Velroux;path483
Habay;gem.;Luxemburg;103,64;8.380;Habay-la-Neuve, Hachy, Anlier, Habay-la-Vieille, Houdemont, Rulles;path574
Hamoir;gem.;Luik;27,8;3.883;Hamoir, Comblain-Fairon, Filot;path521
Hamois;gem.;Namen;76,42;7.285;Hamois, Natoye, Mohiville, Scy, Achet, Emptinne, Schaltin;path439
Ham-sur-Heure-Nalinnes;gem.;Henegouwen;45,68;13.579;Cour-sur-Heure, Ham-sur-Heure, Jamioulx, Marbaix-la-Tour, Nalinnes;path372
Hannuit (Hannut);stad;Luik;86,53;15.998;Hannuit, Abolens, Avernas-le-Bauduin, Avin, Bertrée, Blehen, Cras-Avernas, Crehen, Grand-Hallet, Lens-Saint-Remy, Merdorp, Moxhe, Petit-Hallet, Poucet, Thisnes, Truielingen, Villers-le-Peuplier, Wansin;path459
Hastière;gem.;Namen;56,46;5.959;Hastière-Lavaux, Hermeton-sur-Meuse, Waulsort, Hastière-par-delà, Blaimont, Heer, Agimont;path455
Havelange;gem.;Namen;104,73;5.076;Havelange, Barvaux-Condroz, Flostoy, Jeneffe, Porcheresse, Verlée, Méan, Maffe, Miécret;path440
Hélécine;gem.;Waals-Brabant;16,62;3.387;Linsmeel, Opheylissem, Neerheylissem;path404
Hensies;gem.;Henegouwen;25,99;6.872;Hensies, Hainin, Montrœul-sur-Haine, Thulin;path375
Herbeumont;gem.;Luxemburg;58,81;1.658;Herbeumont, Saint-Médard, Straimont;path570
Héron;gem.;Luik;38,32;5.178;Héron, Lavoir, Waret-l'Évêque, Couthuin;path493
Herstal;gem.;Luik;23,54;39.617;Herstal, Milmort, Vottem, Liers;path486
Herve;stad;Luik;56,84;17.533;Herve, Chaineux, Grand-Rechain, Julémont, Battice, Xhendelesse, Bolland, Charneux;path488
Honnelles;gem.;Henegouwen;43,65;5.189;Angre, Angreau, Athis, Autreppe, Erquennes, Fayt-le-Franc, Marchipont, Montignies-sur-Roc, Onnezies, Roisin;path377
Hotton;gem.;Luxemburg;57,32;5.468;Hotton, Fronville, Hampteau, Marenne;path546
Houffalize;stad;Luxemburg;166,58;5.177;Houffalize, Nadrin, Mont, Tailles, Tavigny, Mabompré, Wibrin;path549
Houyet;gem.;Namen;122,31;4.744;Houyet, Ciergnon, Finnevaux, Hulsonniaux, Mesnil-Église, Mesnil-Saint-Blaise, Celles, Custinne, Hour, Wanlin;path446
Hoei (Huy);stad;Luik;47,74;21.292;Hoei, Ben-Ahin, Tihange;path511
Incourt;gem.;Waals-Brabant;38,79;5.347;Incourt, Glimes, Opprebais, Piétrebais, Roux-Miroir;path411
Itter (Ittre);gem.;Waals-Brabant;34,92;6.784;Itter, Virginal-Samme, Hoog-Itter;path405
Jalhay;gem.;Luik;107,75;8.566;Jalhay, Sart;path527
Jemeppe-sur-Sambre;gem.;Namen;46,8;18.978;Jemeppe-sur-Sambre, Balâtre, Ham-sur-Sambre, Mornimont, Moustier, Onoz, Saint-Martin, Spy;path425
Juprelle;gem.;Luik;35,36;9.223;Juprelle, Lantin, Slins, Voroux-lez-Liers, Paifve, Nudorp, Villers-Saint-Siméon, Fexhe-Slins;path467
Jurbeke (Jurbise);gem.;Henegouwen;57,86;10.529;Jurbeke, Erbaut, Erbisœul, Herchies, Masnuy-Saint-Jean, Masnuy-Saint-Pierre;path365
Kasteelbrakel (Braine-le-Château);gem.;Waals-Brabant;22,7;10.287;Kasteelbrakel, Woutersbrakel;path395
Kelmis (la calamine);gem.;Luik;18,12;10.917;Kelmis, Neu-Moresnet, Hergenrath;path474
Komen-Waasten (Comines-Warneton);stad;Henegouwen;61,09;18.101;Komen, Houthem, Ploegsteert, Neerwaasten, Waasten;path125
La Bruyère;gem.;Namen;52,98;9.060;Émines, Rhisnes, Villers-lez-Heest, Warisoulx, Bovesse, Meux, Saint-Denis;path422
