Gemeente;Stad/Gem.;Provincie;Oppervlakte (km²);Aantal inwoners (01/01/2023);Deelgemeenten;Path
Dentergem;gem.;West-Vlaanderen;25,94;8.632;Dentergem, Markegem, Oeselgem, Wakken;path111
Dessel;gem.;Antwerpen;27,03;9.805;Dessel;path149
Destelbergen;gem.;Oost-Vlaanderen;26,56;19.097;Destelbergen, Heusden;path26
Diepenbeek;gem.;Limburg;41,19;19.423;Diepenbeek;path227
Diest;stad;Vlaams-Brabant;58,2;24.677;Diest, Deurne, Kaggevinne, Molenstede, Schaffen, Webbekom;path252
Diksmuide;stad;West-Vlaanderen;149,4;17.174;Diksmuide, Beerst, Esen, Kaaskerke, Keiem, Lampernisse, Leke, Nieuwkapelle, Oostkerke, Oudekapelle, Pervijze, Sint-Jacobs-Kapelle, Stuivekenskerke, Vladslo, Woumen;path72
Dilbeek;gem.;Vlaams-Brabant;41,18;44.650;Dilbeek, Sint-Martens-Bodegem, Sint-Ulriks-Kapelle, Itterbeek, Groot-Bijgaarden, Schepdaal;path296
Dilsen-Stokkem;stad;Limburg;65,61;21.305;Dilsen, Elen, Lanklaar, Rotem, Stokkem;path210
Drogenbos;gem.[3];Vlaams-Brabant;2,49;5.851;Drogenbos;path313
Duffel;gem.;Antwerpen;22,71;17.982;Duffel;path187
Edegem;gem.;Antwerpen;8,65;22.761;Edegem;path178
Eeklo;stad;Oost-Vlaanderen;30,05;22.140;Eeklo;path1
Erpe-Mere;gem.;Oost-Vlaanderen;34,03;20.843;Aaigem, Bambrugge, Burst, Erondegem, Erpe, Mere, Ottergem, Vlekkem;path54
Essen;gem.;Antwerpen;47,48;19.629;Essen;path132
Evergem;gem.;Oost-Vlaanderen;75,04;36.557;Evergem, Ertvelde, Sleidinge, Kluizen;path7
Galmaarden;gem.;Vlaams-Brabant;34,93;8.912;Galmaarden, Tollembeek, Vollezele;path301
Gavere;gem.;Oost-Vlaanderen;31,34;13.217;Gavere, Asper, Baaigem, Dikkelvenne, Semmerzake, Vurste;path34
Geel;stad;Antwerpen;109,85;41.828;Geel;path161
Geetbets;gem.;Vlaams-Brabant;35,17;6.263;Geetbets, Grazen, Rummen;path286
Genk;stad;Limburg;87,85;67.573;Genk;path214
